Month (YYYY-MM),Category Group,Category,Planned,Notes
2024-02,Uncategorized / Review,To Triage,1346.25,unmapped
2024-02,Uncategorized / Review,To Triage,180.0,unmapped
2024-02,Uncategorized / Review,To Triage,2656.0,unmapped
2024-02,Debt & Loans,Auto Loan,32767.0,BPI
2024-02,Uncategorized / Review,To Triage,14703.33,unmapped
2024-02,Uncategorized / Review,To Triage,9350.0,unmapped
2024-02,Uncategorized / Review,To Triage,11980.0,unmapped
2024-02,Uncategorized / Review,To Triage,16858.13,unmapped
2024-02,Uncategorized / Review,To Triage,12747.71,unmapped
2024-02,Uncategorized / Review,To Triage,36662.76,unmapped
2024-02,Uncategorized / Review,To Triage,14852.3,unmapped
2024-02,Uncategorized / Review,To Triage,129.0,unmapped
2024-02,Uncategorized / Review,To Triage,2090.0,unmapped
2024-02,Health & Insurance,Medications & Vitamins,3134.79,
2024-02,Uncategorized / Review,To Triage,364.0,unmapped
2024-02,Uncategorized / Review,To Triage,150.0,unmapped
2024-02,Uncategorized / Review,To Triage,1000.0,unmapped
2024-02,Uncategorized / Review,To Triage,324.0,unmapped
2024-02,Uncategorized / Review,To Triage,332.0,unmapped
2024-02,Uncategorized / Review,To Triage,706.0,unmapped
2024-02,Uncategorized / Review,To Triage,139.0,unmapped
2024-02,Uncategorized / Review,To Triage,1100.0,unmapped
2024-02,Uncategorized / Review,To Triage,239.0,unmapped
2024-02,Uncategorized / Review,To Triage,1205.0,unmapped
2024-02,Uncategorized / Review,To Triage,2000.0,unmapped
2024-02,Uncategorized / Review,To Triage,43155.0,unmapped
2024-02,Uncategorized / Review,To Triage,48338.0,unmapped
2024-02,Uncategorized / Review,To Triage,206.73,unmapped
2024-02,Uncategorized / Review,To Triage,3973.05,unmapped
2024-02,Uncategorized / Review,To Triage,14127.5,unmapped
2024-02,Uncategorized / Review,To Triage,1574.0,unmapped
2024-02,Uncategorized / Review,To Triage,300.0,unmapped
2024-02,Uncategorized / Review,To Triage,13000.0,unmapped
2024-02,Uncategorized / Review,To Triage,483.0,unmapped
2024-02,Uncategorized / Review,To Triage,10722.47,unmapped
2024-02,Transfers,Internal Transfers,40.83,
2024-02,Uncategorized / Review,To Triage,5200.0,unmapped
2024-03,Uncategorized / Review,To Triage,1660.39,unmapped
2024-03,Uncategorized / Review,To Triage,799.0,unmapped
2024-03,Uncategorized / Review,To Triage,4501.0,unmapped
2024-03,Uncategorized / Review,To Triage,5163.2,unmapped
2024-03,Uncategorized / Review,To Triage,2481.0,unmapped
2024-03,Uncategorized / Review,To Triage,3678.52,unmapped
2024-03,Uncategorized / Review,To Triage,3032.5,unmapped
2024-03,Debt & Loans,Auto Loan,33767.0,BPI
2024-03,Uncategorized / Review,To Triage,20428.52,unmapped
2024-03,Uncategorized / Review,To Triage,9350.0,unmapped
2024-03,Uncategorized / Review,To Triage,11980.0,unmapped
2024-03,Uncategorized / Review,To Triage,7266.88,unmapped
2024-03,Uncategorized / Review,To Triage,7263.88,unmapped
2024-03,Shopping & Lifestyle,Shopee / Lazada / Tiktok,22.0,Shopee
2024-03,Uncategorized / Review,To Triage,3195.96,unmapped
2024-03,Uncategorized / Review,To Triage,15873.55,unmapped
2024-03,Uncategorized / Review,To Triage,1549.0,unmapped
2024-03,Uncategorized / Review,To Triage,3842.93,unmapped
2024-03,Uncategorized / Review,To Triage,4766.0,unmapped
2024-03,Uncategorized / Review,To Triage,4633.38,unmapped
2024-03,Health & Insurance,Medications & Vitamins,7813.0,
2024-03,Uncategorized / Review,To Triage,106400.0,unmapped
2024-03,Uncategorized / Review,To Triage,8827.0,unmapped
2024-03,Uncategorized / Review,To Triage,1000.0,unmapped
2024-03,Uncategorized / Review,To Triage,2601.0,unmapped
2024-03,Uncategorized / Review,To Triage,915.0,unmapped
2024-03,Uncategorized / Review,To Triage,2864.5,unmapped
2024-03,Uncategorized / Review,To Triage,2754.05,unmapped
2024-03,Uncategorized / Review,To Triage,4760.0,unmapped
2024-03,Uncategorized / Review,To Triage,239.0,unmapped
2024-03,Uncategorized / Review,To Triage,2000.0,unmapped
2024-03,Housing & Utilities,Internet & Mobile,1899.0,Postpaid
2024-03,Uncategorized / Review,To Triage,10572.86,unmapped
2024-03,Uncategorized / Review,To Triage,1225.93,unmapped
2024-03,Uncategorized / Review,To Triage,162.72,unmapped
2024-03,Uncategorized / Review,To Triage,12866.5,unmapped
2024-03,Uncategorized / Review,To Triage,1146.05,unmapped
2024-03,Uncategorized / Review,To Triage,6973.8,unmapped
2024-03,Uncategorized / Review,To Triage,2842.0,unmapped
2024-03,Uncategorized / Review,To Triage,2500.0,unmapped
2024-03,Uncategorized / Review,To Triage,2500.0,unmapped
2024-03,Uncategorized / Review,To Triage,1065.49,unmapped
2024-03,Uncategorized / Review,To Triage,1100.0,unmapped
2024-03,Uncategorized / Review,To Triage,375.0,unmapped
2024-03,Uncategorized / Review,To Triage,2815.75,unmapped
2024-03,Uncategorized / Review,To Triage,6475.41,unmapped
2024-03,Transfers,Internal Transfers,126.0,
2024-03,Uncategorized / Review,To Triage,1250.0,unmapped
2024-04,Uncategorized / Review,To Triage,1098.0,unmapped
2024-04,Uncategorized / Review,To Triage,4359.0,unmapped
2024-04,Uncategorized / Review,To Triage,9447.21,unmapped
2024-04,Uncategorized / Review,To Triage,5660.0,unmapped
2024-04,Debt & Loans,Auto Loan,33767.0,BPI
2024-04,Uncategorized / Review,To Triage,20428.52,unmapped
2024-04,Uncategorized / Review,To Triage,4890.29,unmapped
2024-04,Uncategorized / Review,To Triage,11980.0,unmapped
2024-04,Uncategorized / Review,To Triage,1080.14,unmapped
2024-04,Shopping & Lifestyle,Shopee / Lazada / Tiktok,3.0,Shopee
2024-04,Uncategorized / Review,To Triage,62.46,unmapped
2024-04,Uncategorized / Review,To Triage,2500.0,unmapped
2024-04,Uncategorized / Review,To Triage,11603.5,unmapped
2024-04,Uncategorized / Review,To Triage,1598.0,unmapped
2024-04,Uncategorized / Review,To Triage,4442.91,unmapped
2024-04,Uncategorized / Review,To Triage,840.0,unmapped
2024-04,Uncategorized / Review,To Triage,2356.37,unmapped
2024-04,Health & Insurance,Medications & Vitamins,2188.89,
2024-04,Uncategorized / Review,To Triage,8100.0,unmapped
