Date,Account,Payee,Category Group,Category,Tags,Memo,Amount,In/Out,Source,ImportId
2025-11-21,BPI Credit Card,Communication,Uncategorized / Review,To Triage,review,Smart Monthly postpaid,599.0,Outflow,YNAB,0
2025-10-21,BPI Credit Card,Communication,Uncategorized / Review,To Triage,review,Smart Monthly postpaid,599.0,Outflow,YNAB,1
2025-09-21,BPI Credit Card,Communication,Uncategorized / Review,To Triage,review,Smart Monthly postpaid,599.0,Outflow,YNAB,2
2025-09-19,BPI Main,Transfer : BPI Credit Card,Transfers,Internal Transfers,transfer,Sept 2025 Statement Bill,83321.92,Outflow,YNAB,3
2025-09-19,BPI Main,Transfer : Union Bank Debit,Transfers,Internal Transfers,transfer,Fund Transfer,50000.0,Outflow,YNAB,4
2025-09-19,Union Bank Debit,Transfer : Union Bank Rewards Visa Platinum,Transfers,Internal Transfers,transfer,Sept Statement,37636.8,Outflow,YNAB,5
2025-09-19,Cash - Wallet,Manual Balance Adjustment,Uncategorized / Review,To Triage,review,Multiple unUnaccounted Transactions,22023.67,Outflow,YNAB,6
2025-09-19,SAVINGS - BPI Direct Save Up,Transfer : BPI Main,Transfers,Internal Transfers,transfer,Fund Transfer,15000.0,Outflow,YNAB,7
2025-09-19,SAVINGS - CIMB GSave,Transfer : BPI Main,Transfers,Internal Transfers,transfer,Fund Transfer,13200.0,Outflow,YNAB,8
2025-09-19,SAVINGS - CIMB Upsave,Transfer : BPI Main,Transfers,Internal Transfers,transfer,Fund Transfer,9800.0,Outflow,YNAB,9
2025-09-19,BPI Main,Transfer : Union Bank Debit,Transfers,Internal Transfers,transfer,Fund Transfer,9000.0,Outflow,YNAB,10
2025-09-19,SAVINGS - CIMB Upsave,Interest,Uncategorized / Review,To Triage,review,Interest,299.51,Inflow,YNAB,11
2025-09-19,SAVINGS - CIMB GSave,Investment / Interest,Uncategorized / Review,To Triage,review,Interest ,1408.52,Inflow,YNAB,12
2025-09-19,Union Bank Debit,Transfer : BPI Main,Transfers,Internal Transfers,transfer,Fund Transfer,9000.0,Inflow,YNAB,13
2025-09-19,BPI Main,Transfer : SAVINGS - CIMB Upsave,Transfers,Internal Transfers,transfer,Fund Transfer,9800.0,Inflow,YNAB,14
